project,sha,slug,num proj searched,num modules,starCount
https://github.com/apache/druid,fc262dfbaf434614a2ef550775b0c6b736856e28,apache.druid,125,74,12131
https://github.com/quarkusio/quarkus,afd91642a08f86e8565003cb1ca77d752a7ae9cc,quarkusio.quarkus,126,20,10862
https://github.com/redis/jedis,37dfaaa56a82d19fe4cbfddffe561d8ad27640b4,redis.jedis,129,0,10729
https://github.com/apache/pulsar,0c326c0845eb66f513a5f199308620074cdb9b04,apache.pulsar,131,42,11733
https://github.com/code4craft/webmagic,d2b2eed9df619d85d9cb6d808f7ef4bdc0c50d5f,code4craft.webmagic,133,7,10570
https://github.com/macrozheng/mall-learning,b956e31fbbaa1c4efc6e8a375f9480c5408a84c4,macrozheng.mall-learning,135,1,11475
https://github.com/neo4j/neo4j,bd80d36f37ba8adacd37a90c9953bd65e8120ca7,neo4j.neo4j,136,4,10526
https://github.com/google/auto,b8f2bad3876add5fdf8b72d8aad79451e483befd,google.auto,140,0,9904
https://github.com/grpc/grpc-java,7007d78b713b4e9f92342bbde4dc8472fd290223,grpc.grpc-java,147,0,10092
https://github.com/theonedev/onedev,5262e7b9f6ff515ad812b464c70b4ae0758c2dc7,theonedev.onedev,149,3,9868
https://github.com/apache/zookeeper,90f813ea38a85ff2715662bad75f9bb6387fe4a6,apache.zookeeper,155,10,10882
https://github.com/questdb/questdb,084f908877efcb4cbb6a94c688869a6c41d3fdb4,questdb.questdb,158,4,9507
https://github.com/dromara/Sa-Token,fe9aebc5cfb7eb99a453c24f1f266a50155b6e18,dromara.Sa-Token,164,5,10522
https://github.com/newbee-ltd/newbee-mall,7412da0b90a4fddf0cb8a3f2c8e9e42502838531,newbee-ltd.newbee-mall,176,0,9358
https://github.com/apache/dolphinscheduler,70aef3ec21aa712f1f499f7b9b56bdb6b803d654,apache.dolphinscheduler,181,22,9154
https://github.com/OpenRefine/OpenRefine,98e01e8df1b1db8082cf16950e6127af81709715,OpenRefine.OpenRefine,183,5,9077
https://github.com/dropwizard/metrics,7969e2132397fce41632cbdaf86fc1305e0e5326,dropwizard.metrics,184,34,7638
https://github.com/Activiti/Activiti,13e6ce9c9998a9430347b645f5d2d65ce7b2ae0a,Activiti.Activiti,186,6,9016
https://github.com/apache/shenyu,0453b489716a9d1834c847fdc354f2cd885938f1,apache.shenyu,194,16,7340
https://github.com/checkstyle/checkstyle,ad27aa0feb4804cf3a14430b2cb90c3d13dbe532,checkstyle.checkstyle,196,0,7336
https://github.com/ssssssss-team/spider-flow,39cdc055526c007d9329111d88632a6cdd16d74c,ssssssss-team.spider-flow,198,3,7327
https://github.com/metersphere/metersphere,0b4433b99232f2a37b0fef4b68a1a3d2fbeaf9e3,metersphere.metersphere,206,7,8390
https://github.com/apache/cassandra,6f709ca0ece43209f04c56c13c138ef76e14ba90,apache.cassandra,209,0,7595
https://github.com/alibaba/COLA,4c5d63a4cbd30eb8797072df43afaac8f080119f,alibaba.COLA,210,4,8571
https://github.com/cryptomator/cryptomator,01a6475d5ff94b35362c12fa464db6726196e830,cryptomator.cryptomator,210,0,8331
https://github.com/dropwizard/dropwizard,75dc04b8268ad8a52f10b48eb1c0008ba374a465,dropwizard.dropwizard,212,36,8300
https://github.com/dataease/dataease,8ba5fcc84925626d3f8ab56792685b3a4c15841a,dataease.dataease,230,3,7742
